waypoint1	waypoint2	distance_m	duration_s
barceloneta metro, barcelona	casa de l'aigua metro, barcelona	10402	2465
barceloneta metro, barcelona	catalunya metro, barcelona	4731	1122
barceloneta metro, barcelona	centric metro, barcelona	14980	3420
barceloneta metro, barcelona	via olimpica metro, barcelona	1143	827
barceloneta metro, barcelona	ciutat meridiana metro, barcelona	11881	2874
barceloneta metro, barcelona	clot metro, barcelona	5924	1959
barceloneta metro, barcelona	collblanc metro, barcelona	8764	2473
barceloneta metro, barcelona	congres metro, barcelona	7147	1964
barceloneta metro, barcelona	cornella centre metro, barcelona	13677	3161
barceloneta metro, barcelona	cornella riera metro, barcelona	14001	3705
barceloneta metro, barcelona	Diagonal, Barcelona, Spain	4164	1208
barceloneta metro, barcelona	Drassanes metro, barcelona	1441	561
barceloneta metro, barcelona	el carmel metro, barcelona	9674	2613
barceloneta metro, barcelona	el coll metro, barcelona	8205	2486
barceloneta metro, barcelona	el maresme metro, barcelona	5041	1388
barceloneta metro, barcelona	el prat estacio metro, barcelona	13799	3583
barceloneta metro, barcelona	el putxet metro, barcelona	5560	1958
barceloneta metro, barcelona	encants metro, barcelona	5438	1870
barceloneta metro, barcelona	entenca metro, barcelona	4593	1572
barceloneta metro, barcelona	ernest lluch metro, barcelona	8228	2235
barceloneta metro, barcelona	esglesia major metro, barcelona	13482	3115
barceloneta metro, barcelona	espanya metro, barcelona	5377	1654
barceloneta metro, barcelona	europa metro, barcelona	8560	2410
barceloneta metro, barcelona	Fabra metro, barcelona	6692	2064
barceloneta metro, barcelona	Fira metro, barcelona	9419	3045
barceloneta metro, barcelona	Florida metro, barcelona	9050	2388
barceloneta metro, barcelona	Fondo metro, barcelona	11481	2806
barceloneta metro, barcelona	Fontana metro, barcelona	4939	1679
barceloneta metro, barcelona	Gavarra metro, barcelona	12933	3075
barceloneta metro, barcelona	girona metro, barcelona	2635	972
barceloneta metro, barcelona	glories metro, barcelona	3585	1579
barceloneta metro, barcelona	gorg metro, barcelona	8368	2436
barceloneta metro, barcelona	gornal metro, barcelona	9657	3083
barceloneta metro, barcelona	gracia metro, barcelona	3949	1585
barceloneta metro, barcelona	guinardo metro, barcelona	5760	1459
barceloneta metro, barcelona	horta metro, barcelona	8962	2477
barceloneta metro, barcelona	hospital de bellvitge metro, barcelona	12915	2993
barceloneta metro, barcelona	dos de maig metro, barcelona	4812	1041
barceloneta metro, barcelona	hospital clinic metro, barcelona	4300	1253
barceloneta metro, barcelona	hostafrancs metro, barcelona	5911	1864
barceloneta metro, barcelona	ildefons cerda metro, barcelona	7742	2255
barceloneta metro, barcelona	Jaume I metro, barcelona	821	699
barceloneta metro, barcelona	Joanic metro, barcelona	4293	1276
barceloneta metro, barcelona	Bonanova metro, barcelona	6913	2007
barceloneta metro, barcelona	La pau metro, barcelona	6710	1607
barceloneta metro, barcelona	Sagrera metro, barcelona	6144	2008
barceloneta metro, barcelona	La salut metro, barcelona	10958	3219
barceloneta metro, barcelona	Les Corts metro, barcelona	5789	1711
barceloneta metro, barcelona	Les moreres metro, barcelona	14240	3442
barceloneta metro, barcelona	Les tres torres metro, barcelona	6858	1970
barceloneta metro, barcelona	Lesseps metro, barcelona	5309	1673
barceloneta metro, barcelona	Liceu metro, barcelona	1897	901
barceloneta metro, barcelona	Llacuna metro, barcelona	2832	959
barceloneta metro, barcelona	llefia metro, barcelona	10254	2577
barceloneta metro, barcelona	llucmajor metro, barcelona	8296	1811
barceloneta metro, barcelona	Magoria metro, barcelona	6706	2042
barceloneta metro, barcelona	Maragall metro, barcelona	7091	1663
barceloneta metro, barcelona	Maria Cristina metro, barcelona	6478	1823
barceloneta metro, barcelona	Marina metro, barcelona	2357	656
barceloneta metro, barcelona	Mas blau metro, barcelona	22974	4280
barceloneta metro, barcelona	Mercabarna metro, barcelona	13960	4271
barceloneta metro, barcelona	Mercat Nou metro, barcelona	6903	2098
barceloneta metro, barcelona	Moli Nou metro, barcelona	24090	5985
barceloneta metro, barcelona	Montbau metro, barcelona	8474	2211
barceloneta metro, barcelona	Monumental metro, barcelona	3221	670
barceloneta metro, barcelona	Mundet metro, barcelona	9169	2364
barceloneta metro, barcelona	Muntaner metro, barcelona	5150	1230
barceloneta metro, barcelona	Navas metro, barcelona	5140	1821
barceloneta metro, barcelona	Onza de Setembre metro, barcelona	8402	2817
barceloneta metro, barcelona	Palau Reial metro, barcelona	7116	1929
barceloneta metro, barcelona	Padua metro, barcelona	7623	2056
barceloneta metro, barcelona	Parallel metro, barcelona	1901	488
barceloneta metro, barcelona	Parc logistic metro, barcelona	14092	3425
barceloneta metro, barcelona	Parc nou metro, barcelona	16184	3788
barceloneta metro, barcelona	passeig de gracia metro, barcelona	2066	959
barceloneta metro, barcelona	penitents metro, barcelona	7084	2024
barceloneta metro, barcelona	pep ventura metro, barcelona	10612	2696
barceloneta metro, barcelona	placa molina metro, barcelona	5402	1447
barceloneta metro, barcelona	placa de sants metro, barcelona	7348	2177
barceloneta metro, barcelona	placa del centre metro, barcelona	5153	1606
barceloneta metro, barcelona	poblenou metro, barcelona	3503	1069
barceloneta metro, barcelona	poble sec metro, barcelona	3045	994
barceloneta metro, barcelona	provenca metro, barcelona	3748	1109
barceloneta metro, barcelona	pubilla cases metro, barcelona	9769	2551
barceloneta metro, barcelona	rambla just oliveres metro, barcelona	10601	2632
barceloneta metro, barcelona	reina elisenda metro, barcelona	7967	1918
barceloneta metro, barcelona	rocafort metro, barcelona	3812	1331
barceloneta metro, barcelona	roquetes metro, barcelona	10451	2585
barceloneta metro, barcelona	sagrada familia metro, barcelona	4135	856
barceloneta metro, barcelona	sant andreu metro, barcelona	6692	2064
barceloneta metro, barcelona	sant antoni metro, barcelona	2830	834
barceloneta metro, barcelona	sant boi metro, barcelona	19452	4926
barceloneta metro, barcelona	sant gervasi metro, barcelona	5367	1413
barceloneta metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	12108	2916
barceloneta metro, barcelona	sant josep metro, barcelona	10010	2843
barceloneta metro, barcelona	sant marti metro, barcelona	7349	1632
barceloneta metro, barcelona	sant roc metro, barcelona	9552	2612
barceloneta metro, barcelona	santa coloma metro, barcelona	11349	2304
barceloneta metro, barcelona	santa eulalia metro, barcelona	7473	2143
barceloneta metro, barcelona	santa rosa metro, barcelona	12322	2790
barceloneta metro, barcelona	sants estacio metro, barcelona	4798	1618
barceloneta metro, barcelona	sarria metro, barcelona	7624	1841
barceloneta metro, barcelona	selva de mar metro, barcelona	4227	1226
barceloneta metro, barcelona	singuerlin metro, barcelona	12851	2648
barceloneta metro, barcelona	tarragona metro, barcelona	4221	1493
barceloneta metro, barcelona	tetuan metro, barcelona	3202	1394
barceloneta metro, barcelona	torras i bages metro, barcelona	8713	2465
barceloneta metro, barcelona	torrassa metro, barcelona	8547	2336
barceloneta metro, barcelona	torre baro metro, barcelona	11357	2780
barceloneta metro, barcelona	trinitat nova metro, barcelona	10008	2180
barceloneta metro, barcelona	trinitat vella metro, barcelona	9310	2459
barceloneta metro, barcelona	universitat metro, barcelona	3757	976
barceloneta metro, barcelona	urgell metro, barcelona	3394	1021
barceloneta metro, barcelona	urquinaona metro, barcelona	1792	844
barceloneta metro, barcelona	valldaura metro, barcelona	9856	2388
barceloneta metro, barcelona	vall d'hebron metro, barcelona	7795	2054
barceloneta metro, barcelona	verdaguer metro, barcelona	3510	1176
barceloneta metro, barcelona	verneda metro, barcelona	7583	2219
barceloneta metro, barcelona	via julia metro, barcelona	9169	1943
barceloneta metro, barcelona	vilapicina metro, barcelona	8027	2282
barceloneta metro, barcelona	virrei amat metro, barcelona	9111	2390
barceloneta metro, barcelona	zona universitaria metro, barcelona	7823	2088
baro de vivir metro, barcelona	bellvitge metro, barcelona	17549	3305
baro de vivir metro, barcelona	besos metro, barcelona	4404	1461
baro de vivir metro, barcelona	besos mar metro, barcelona	6639	1796
baro de vivir metro, barcelona	bogatell metro, barcelona	7846	2099
baro de vivir metro, barcelona	bon pastor metro, barcelona	2312	964
baro de vivir metro, barcelona	camp de l'arpa metro, barcelona	5413	1763
baro de vivir metro, barcelona	can boixeres metro, barcelona	15121	3266
baro de vivir metro, barcelona	can cuias metro, barcelona	8030	2036
baro de vivir metro, barcelona	can peixauet metro, barcelona	1663	1269
baro de vivir metro, barcelona	can serra metro, barcelona	15244	2998
baro de vivir metro, barcelona	can tries metro, barcelona	15278	3557
baro de vivir metro, barcelona	can vidalet metro, barcelona	14264	3136
baro de vivir metro, barcelona	can zam metro, barcelona	2088	1609
baro de vivir metro, barcelona	canyelles metro, barcelona	6242	2659
baro de vivir metro, barcelona	casa de l'aigua metro, barcelona	2698	1938
baro de vivir metro, barcelona	catalunya metro, barcelona	9123	1983
baro de vivir metro, barcelona	centric metro, barcelona	24475	4480
baro de vivir metro, barcelona	via olimpica metro, barcelona	8752	2186
baro de vivir metro, barcelona	ciutat meridiana metro, barcelona	6677	1719
baro de vivir metro, barcelona	clot metro, barcelona	5530	1414
baro de vivir metro, barcelona	collblanc metro, barcelona	12470	2935
baro de vivir metro, barcelona	congres metro, barcelona	4699	1630
baro de vivir metro, barcelona	cornella centre metro, barcelona	17383	3623
baro de vivir metro, barcelona	cornella riera metro, barcelona	18245	4240
baro de vivir metro, barcelona	Diagonal, Barcelona, Spain	8512	2461
baro de vivir metro, barcelona	Drassanes metro, barcelona	11107	2594
baro de vivir metro, barcelona	el carmel metro, barcelona	8018	2275
baro de vivir metro, barcelona	el coll metro, barcelona	9205	2466
baro de vivir metro, barcelona	el maresme metro, barcelona	6828	1750
baro de vivir metro, barcelona	el prat estacio metro, barcelona	23427	4431
baro de vivir metro, barcelona	el putxet metro, barcelona	12686	3110
baro de vivir metro, barcelona	encants metro, barcelona	6385	1583
baro de vivir metro, barcelona	entenca metro, barcelona	9720	2420
baro de vivir metro, barcelona	ernest lluch metro, barcelona	13014	3384
baro de vivir metro, barcelona	esglesia major metro, barcelona	1434	1214
baro de vivir metro, barcelona	espanya metro, barcelona	11139	2287
baro de vivir metro, barcelona	europa metro, barcelona	14153	3101
baro de vivir metro, barcelona	Fabra metro, barcelona	3157	935
baro de vivir metro, barcelona	Fira metro, barcelona	16727	3733
baro de vivir metro, barcelona	Florida metro, barcelona	14567	2833
baro de vivir metro, barcelona	Fondo metro, barcelona	1631	697
baro de vivir metro, barcelona	Fontana metro, barcelona	11323	2782
baro de vivir metro, barcelona	Gavarra metro, barcelona	16638	3537
baro de vivir metro, barcelona	girona metro, barcelona	9712	2445
baro de vivir metro, barcelona	glories metro, barcelona	6264	1420
baro de vivir metro, barcelona	gorg metro, barcelona	15977	3872
baro de vivir metro, barcelona	gornal metro, barcelona	15928	4074
baro de vivir metro, barcelona	gracia metro, barcelona	11075	2737
baro de vivir metro, barcelona	guinardo metro, barcelona	12838	2932
baro de vivir metro, barcelona	horta metro, barcelona	7306	2139
baro de vivir metro, barcelona	hospital de bellvitge metro, barcelona	18432	3438
baro de vivir metro, barcelona	dos de maig metro, barcelona	5673	1796
baro de vivir metro, barcelona	hospital clinic metro, barcelona	9072	2313
baro de vivir metro, barcelona	hostafrancs metro, barcelona	11427	2309
baro de vivir metro, barcelona	ildefons cerda metro, barcelona	13335	2946
baro de vivir metro, barcelona	Jaume I metro, barcelona	9094	2385
baro de vivir metro, barcelona	Joanic metro, barcelona	11371	2749
baro de vivir metro, barcelona	Bonanova metro, barcelona	13207	3293
baro de vivir metro, barcelona	La pau metro, barcelona	4211	1333
baro de vivir metro, barcelona	Sagrera metro, barcelona	4339	1141
baro de vivir metro, barcelona	La salut metro, barcelona	9141	2286
baro de vivir metro, barcelona	Les Corts metro, barcelona	13398	3147
baro de vivir metro, barcelona	Les moreres metro, barcelona	21262	4130
baro de vivir metro, barcelona	Les tres torres metro, barcelona	13431	3411
baro de vivir metro, barcelona	Lesseps metro, barcelona	11694	2776
baro de vivir metro, barcelona	Liceu metro, barcelona	10457	2369
baro de vivir metro, barcelona	Llacuna metro, barcelona	7490	2334
baro de vivir metro, barcelona	llefia metro, barcelona	8511	2224
baro de vivir metro, barcelona	llucmajor metro, barcelona	4511	2058
baro de vivir metro, barcelona	Magoria metro, barcelona	12502	3084
baro de vivir metro, barcelona	Maragall metro, barcelona	5300	1795
baro de vivir metro, barcelona	Maria Cristina metro, barcelona	14087	3259
baro de vivir metro, barcelona	Marina metro, barcelona	7393	1676
baro de vivir metro, barcelona	Mas blau metro, barcelona	27193	4765
baro de vivir metro, barcelona	Mercabarna metro, barcelona	20024	5217
baro de vivir metro, barcelona	Mercat Nou metro, barcelona	12420	2543
baro de vivir metro, barcelona	Moli Nou metro, barcelona	29683	6762
baro de vivir metro, barcelona	Montbau metro, barcelona	10042	2908
baro de vivir metro, barcelona	Monumental metro, barcelona	7729	1863
baro de vivir metro, barcelona	Mundet metro, barcelona	15553	3467
baro de vivir metro, barcelona	Muntaner metro, barcelona	12013	2865
baro de vivir metro, barcelona	Navas metro, barcelona	4709	1178
baro de vivir metro, barcelona	Onza de Setembre metro, barcelona	2917	913
baro de vivir metro, barcelona	Palau Reial metro, barcelona	14726	3365
baro de vivir metro, barcelona	Padua metro, barcelona	12037	3013
baro de vivir metro, barcelona	Parallel metro, barcelona	11632	2812
baro de vivir metro, barcelona	Parc logistic metro, barcelona	18311	3910
baro de vivir metro, barcelona	Parc nou metro, barcelona	25482	4587
baro de vivir metro, barcelona	passeig de gracia metro, barcelona	9096	2103
baro de vivir metro, barcelona	penitents metro, barcelona	13468	3127
baro de vivir metro, barcelona	pep ventura metro, barcelona	4614	1432
baro de vivir metro, barcelona	placa molina metro, barcelona	11588	2895
baro de vivir metro, barcelona	placa de sants metro, barcelona	12177	2654
baro de vivir metro, barcelona	placa del centre metro, barcelona	12762	3042
baro de vivir metro, barcelona	poblenou metro, barcelona	7077	2102
baro de vivir metro, barcelona	poble sec metro, barcelona	11061	2671
baro de vivir metro, barcelona	provenca metro, barcelona	8440	2385
baro de vivir metro, barcelona	pubilla cases metro, barcelona	13475	3013
baro de vivir metro, barcelona	rambla just oliveres metro, barcelona	16117	3077
baro de vivir metro, barcelona	reina elisenda metro, barcelona	15762	2972
baro de vivir metro, barcelona	rocafort metro, barcelona	10313	2115
baro de vivir metro, barcelona	roquetes metro, barcelona	2965	2207
baro de vivir metro, barcelona	sagrada familia metro, barcelona	6657	1517
baro de vivir metro, barcelona	sant andreu metro, barcelona	3157	935
baro de vivir metro, barcelona	sant antoni metro, barcelona	10348	2436
baro de vivir metro, barcelona	sant boi metro, barcelona	25045	5703
baro de vivir metro, barcelona	sant gervasi metro, barcelona	11599	2902
baro de vivir metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	15813	3378
baro de vivir metro, barcelona	sant josep metro, barcelona	17173	3740
baro de vivir metro, barcelona	sant marti metro, barcelona	4521	1342
baro de vivir metro, barcelona	sant roc metro, barcelona	10437	2651
baro de vivir metro, barcelona	santa coloma metro, barcelona	733	562
baro de vivir metro, barcelona	santa eulalia metro, barcelona	12990	2588
baro de vivir metro, barcelona	santa rosa metro, barcelona	2026	870
baro de vivir metro, barcelona	sants estacio metro, barcelona	10592	2688
baro de vivir metro, barcelona	sarria metro, barcelona	14879	2865
baro de vivir metro, barcelona	selva de mar metro, barcelona	7947	1958
baro de vivir metro, barcelona	singuerlin metro, barcelona	1989	1610
baro de vivir metro, barcelona	tarragona metro, barcelona	11334	2542
baro de vivir metro, barcelona	tetuan metro, barcelona	8326	2194
baro de vivir metro, barcelona	torras i bages metro, barcelona	1457	475
baro de vivir metro, barcelona	torrassa metro, barcelona	14064	2781
baro de vivir metro, barcelona	torre baro metro, barcelona	6055	1897
baro de vivir metro, barcelona	trinitat nova metro, barcelona	2804	2000
baro de vivir metro, barcelona	trinitat vella metro, barcelona	539	540
baro de vivir metro, barcelona	universitat metro, barcelona	9317	1996
baro de vivir metro, barcelona	urgell metro, barcelona	9801	2023
baro de vivir metro, barcelona	urquinaona metro, barcelona	8304	1795
baro de vivir metro, barcelona	valldaura metro, barcelona	16241	3491
baro de vivir metro, barcelona	vall d'hebron metro, barcelona	9409	2464
baro de vivir metro, barcelona	verdaguer metro, barcelona	7455	2181
baro de vivir metro, barcelona	verneda metro, barcelona	8468	2258
baro de vivir metro, barcelona	via julia metro, barcelona	2847	2013
baro de vivir metro, barcelona	vilapicina metro, barcelona	6371	1944
baro de vivir metro, barcelona	virrei amat metro, barcelona	3946	1609
baro de vivir metro, barcelona	zona universitaria metro, barcelona	15432	3524
bellvitge metro, barcelona	besos metro, barcelona	15013	3725
bellvitge metro, barcelona	besos mar metro, barcelona	16133	3546
bellvitge metro, barcelona	bogatell metro, barcelona	11093	2741
bellvitge metro, barcelona	bon pastor metro, barcelona	16786	3627
bellvitge metro, barcelona	camp de l'arpa metro, barcelona	11988	2834
bellvitge metro, barcelona	can boixeres metro, barcelona	3207	716
bellvitge metro, barcelona	can cuias metro, barcelona	20219	4664
bellvitge metro, barcelona	can peixauet metro, barcelona	19172	3926
bellvitge metro, barcelona	can serra metro, barcelona	2429	874
bellvitge metro, barcelona	can tries metro, barcelona	1596	1202
bellvitge metro, barcelona	can vidalet metro, barcelona	3062	1427
bellvitge metro, barcelona	can zam metro, barcelona	20751	4121
bellvitge metro, barcelona	canyelles metro, barcelona	17151	3699
bellvitge metro, barcelona	casa de l'aigua metro, barcelona	18517	4196
bellvitge metro, barcelona	catalunya metro, barcelona	9108	2053
bellvitge metro, barcelona	centric metro, barcelona	5512	1210
bellvitge metro, barcelona	via olimpica metro, barcelona	11818	2982
bellvitge metro, barcelona	ciutat meridiana metro, barcelona	21694	4159
bellvitge metro, barcelona	clot metro, barcelona	12321	2590
bellvitge metro, barcelona	collblanc metro, barcelona	4548	1817
bellvitge metro, barcelona	congres metro, barcelona	13446	3032
bellvitge metro, barcelona	cornella centre metro, barcelona	5585	1542
bellvitge metro, barcelona	cornella riera metro, barcelona	5183	1693
bellvitge metro, barcelona	Diagonal, Barcelona, Spain	9198	2594
bellvitge metro, barcelona	Drassanes metro, barcelona	8919	2407
bellvitge metro, barcelona	el carmel metro, barcelona	16728	3650
bellvitge metro, barcelona	el coll metro, barcelona	15316	3708
bellvitge metro, barcelona	el maresme metro, barcelona	15716	3543
bellvitge metro, barcelona	el prat estacio metro, barcelona	4331	1288
bellvitge metro, barcelona	el putxet metro, barcelona	12671	3180
bellvitge metro, barcelona	encants metro, barcelona	12732	2901
bellvitge metro, barcelona	entenca metro, barcelona	7279	2066
bellvitge metro, barcelona	ernest lluch metro, barcelona	4238	1932
bellvitge metro, barcelona	esglesia major metro, barcelona	18984	4074
bellvitge metro, barcelona	espanya metro, barcelona	6878	1605
bellvitge metro, barcelona	europa metro, barcelona	2005	834
bellvitge metro, barcelona	Fabra metro, barcelona	14392	2815
bellvitge metro, barcelona	Fira metro, barcelona	6238	2009
bellvitge metro, barcelona	Florida metro, barcelona	2982	917
bellvitge metro, barcelona	Fondo metro, barcelona	19181	3557
bellvitge metro, barcelona	Fontana metro, barcelona	11308	2852
bellvitge metro, barcelona	Gavarra metro, barcelona	4841	1456
bellvitge metro, barcelona	girona metro, barcelona	10749	2703
bellvitge metro, barcelona	glories metro, barcelona	11285	2330
bellvitge metro, barcelona	gorg metro, barcelona	6240	2293
bellvitge metro, barcelona	gornal metro, barcelona	1507	1135
bellvitge metro, barcelona	gracia metro, barcelona	11060	2807
bellvitge metro, barcelona	guinardo metro, barcelona	13875	3190
bellvitge metro, barcelona	horta metro, barcelona	16016	3514
bellvitge metro, barcelona	hospital de bellvitge metro, barcelona	882	578
bellvitge metro, barcelona	dos de maig metro, barcelona	11326	2691
bellvitge metro, barcelona	hospital clinic metro, barcelona	7927	2173
bellvitge metro, barcelona	hostafrancs metro, barcelona	6122	1441
bellvitge metro, barcelona	ildefons cerda metro, barcelona	2658	944
bellvitge metro, barcelona	Jaume I metro, barcelona	10131	2643
bellvitge metro, barcelona	Joanic metro, barcelona	11714	2919
bellvitge metro, barcelona	Bonanova metro, barcelona	11845	2735
bellvitge metro, barcelona	La pau metro, barcelona	14594	3420
bellvitge metro, barcelona	Sagrera metro, barcelona	13844	2759
bellvitge metro, barcelona	La salut metro, barcelona	18646	3904
bellvitge metro, barcelona	Les Corts metro, barcelona	9137	2465
bellvitge metro, barcelona	Les moreres metro, barcelona	4772	1180
bellvitge metro, barcelona	Les tres torres metro, barcelona	12168	2843
bellvitge metro, barcelona	Lesseps metro, barcelona	11679	2846
bellvitge metro, barcelona	Liceu metro, barcelona	9523	2497
bellvitge metro, barcelona	Llacuna metro, barcelona	13508	3114
bellvitge metro, barcelona	llefia metro, barcelona	18016	3842
bellvitge metro, barcelona	llucmajor metro, barcelona	16411	3542
bellvitge metro, barcelona	Magoria metro, barcelona	3732	1063
bellvitge metro, barcelona	Maragall metro, barcelona	14009	3170
bellvitge metro, barcelona	Maria Cristina metro, barcelona	9826	2577
bellvitge metro, barcelona	Marina metro, barcelona	10640	2318
bellvitge metro, barcelona	Mas blau metro, barcelona	8369	2294
bellvitge metro, barcelona	Mercabarna metro, barcelona	2599	2082
bellvitge metro, barcelona	Mercat Nou metro, barcelona	5249	1327
bellvitge metro, barcelona	Moli Nou metro, barcelona	15272	3973
bellvitge metro, barcelona	Montbau metro, barcelona	14844	3384
bellvitge metro, barcelona	Monumental metro, barcelona	10771	2681
bellvitge metro, barcelona	Mundet metro, barcelona	15538	3537
bellvitge metro, barcelona	Muntaner metro, barcelona	11228	2636
bellvitge metro, barcelona	Navas metro, barcelona	12840	2572
bellvitge metro, barcelona	Onza de Setembre metro, barcelona	15323	3429
bellvitge metro, barcelona	Palau Reial metro, barcelona	10465	2683
bellvitge metro, barcelona	Padua metro, barcelona	12022	3083
bellvitge metro, barcelona	Parallel metro, barcelona	8499	2406
bellvitge metro, barcelona	Parc logistic metro, barcelona	7822	2186
bellvitge metro, barcelona	Parc nou metro, barcelona	6715	1687
bellvitge metro, barcelona	passeig de gracia metro, barcelona	9081	2173
bellvitge metro, barcelona	penitents metro, barcelona	13453	3197
bellvitge metro, barcelona	pep ventura metro, barcelona	18289	3911
bellvitge metro, barcelona	placa molina metro, barcelona	11573	2965
bellvitge metro, barcelona	placa de sants metro, barcelona	6014	1620
bellvitge metro, barcelona	placa del centre metro, barcelona	6628	2094
bellvitge metro, barcelona	poblenou metro, barcelona	14179	3224
bellvitge metro, barcelona	poble sec metro, barcelona	7984	2191
bellvitge metro, barcelona	provenca metro, barcelona	9126	2518
bellvitge metro, barcelona	pubilla cases metro, barcelona	3226	1568
bellvitge metro, barcelona	rambla just oliveres metro, barcelona	2158	755
bellvitge metro, barcelona	reina elisenda metro, barcelona	14833	2870
bellvitge metro, barcelona	rocafort metro, barcelona	7236	1635
bellvitge metro, barcelona	roquetes metro, barcelona	18326	3952
bellvitge metro, barcelona	sagrada familia metro, barcelona	11357	2831
bellvitge metro, barcelona	sant andreu metro, barcelona	14392	2815
bellvitge metro, barcelona	sant antoni metro, barcelona	8295	2140
bellvitge metro, barcelona	sant boi metro, barcelona	10634	2914
bellvitge metro, barcelona	sant gervasi metro, barcelona	11584	2972
bellvitge metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	4048	826
bellvitge metro, barcelona	sant josep metro, barcelona	1890	1202
bellvitge metro, barcelona	sant marti metro, barcelona	13742	3195
bellvitge metro, barcelona	sant roc metro, barcelona	17228	3827
bellvitge metro, barcelona	santa coloma metro, barcelona	18283	3422
bellvitge metro, barcelona	santa eulalia metro, barcelona	4559	1162
bellvitge metro, barcelona	santa rosa metro, barcelona	19947	4138
bellvitge metro, barcelona	sants estacio metro, barcelona	6598	2054
bellvitge metro, barcelona	sarria metro, barcelona	13950	2763
bellvitge metro, barcelona	selva de mar metro, barcelona	13567	3036
bellvitge metro, barcelona	singuerlin metro, barcelona	19828	3959
bellvitge metro, barcelona	tarragona metro, barcelona	7073	1860
bellvitge metro, barcelona	tetuan metro, barcelona	9929	2552
bellvitge metro, barcelona	torras i bages metro, barcelona	16413	3216
bellvitge metro, barcelona	torrassa metro, barcelona	3575	1057
bellvitge metro, barcelona	torre baro metro, barcelona	19472	4511
bellvitge metro, barcelona	trinitat nova metro, barcelona	18123	3911
bellvitge metro, barcelona	trinitat vella metro, barcelona	17010	3210
bellvitge metro, barcelona	universitat metro, barcelona	8388	1894
bellvitge metro, barcelona	urgell metro, barcelona	7748	1727
bellvitge metro, barcelona	urquinaona metro, barcelona	9341	2053
bellvitge metro, barcelona	valldaura metro, barcelona	16226	3561
bellvitge metro, barcelona	vall d'hebron metro, barcelona	14165	3227
bellvitge metro, barcelona	verdaguer metro, barcelona	9878	2578
bellvitge metro, barcelona	verneda metro, barcelona	15259	3434
bellvitge metro, barcelona	via julia metro, barcelona	17284	3674
bellvitge metro, barcelona	vilapicina metro, barcelona	15081	3319
bellvitge metro, barcelona	virrei amat metro, barcelona	14514	3279
bellvitge metro, barcelona	zona universitaria metro, barcelona	5750	1989
besos metro, barcelona	besos mar metro, barcelona	1008	789
besos metro, barcelona	bogatell metro, barcelona	4354	1376
besos metro, barcelona	bon pastor metro, barcelona	2587	939
besos metro, barcelona	camp de l'arpa metro, barcelona	3715	1959
besos metro, barcelona	can boixeres metro, barcelona	13189	3319
besos metro, barcelona	can cuias metro, barcelona	18359	4011
besos metro, barcelona	can peixauet metro, barcelona	4135	1182
besos metro, barcelona	can serra metro, barcelona	11996	2982
besos metro, barcelona	can tries metro, barcelona	12630	3830
besos metro, barcelona	can vidalet metro, barcelona	12331	3189
besos metro, barcelona	can zam metro, barcelona	7569	2022
besos metro, barcelona	canyelles metro, barcelona	15987	3748
besos metro, barcelona	casa de l'aigua metro, barcelona	16657	3543
besos metro, barcelona	catalunya metro, barcelona	5773	1793
besos metro, barcelona	centric metro, barcelona	18716	4460
besos metro, barcelona	via olimpica metro, barcelona	5604	1635
besos metro, barcelona	ciutat meridiana metro, barcelona	12632	3178
besos metro, barcelona	clot metro, barcelona	2818	1235
besos metro, barcelona	collblanc metro, barcelona	10537	2988
besos metro, barcelona	congres metro, barcelona	7553	2448
besos metro, barcelona	cornella centre metro, barcelona	15450	3676
besos metro, barcelona	cornella riera metro, barcelona	16312	4293
besos metro, barcelona	Diagonal, Barcelona, Spain	9805	2643
besos metro, barcelona	Drassanes metro, barcelona	8063	2506
besos metro, barcelona	el carmel metro, barcelona	10835	3066
besos metro, barcelona	el coll metro, barcelona	13769	2950
besos metro, barcelona	el maresme metro, barcelona	1601	968
besos metro, barcelona	el prat estacio metro, barcelona	16079	4737
besos metro, barcelona	el putxet metro, barcelona	11815	3036
besos metro, barcelona	encants metro, barcelona	3304	1324
besos metro, barcelona	entenca metro, barcelona	7787	2473
besos metro, barcelona	ernest lluch metro, barcelona	11530	3725
besos metro, barcelona	esglesia major metro, barcelona	5884	1698
besos metro, barcelona	espanya metro, barcelona	7657	2528
besos metro, barcelona	europa metro, barcelona	12296	3450
besos metro, barcelona	Fabra metro, barcelona	5064	2077
besos metro, barcelona	Fira metro, barcelona	14080	4006
besos metro, barcelona	Florida metro, barcelona	11319	2817
besos metro, barcelona	Fondo metro, barcelona	6012	1779
besos metro, barcelona	Fontana metro, barcelona	10144	2901
besos metro, barcelona	Gavarra metro, barcelona	14706	3590
besos metro, barcelona	girona metro, barcelona	8889	2050
besos metro, barcelona	glories metro, barcelona	3129	984
besos metro, barcelona	gorg metro, barcelona	15196	3982
besos metro, barcelona	gornal metro, barcelona	13393	4123
besos metro, barcelona	gracia metro, barcelona	10204	2663
besos metro, barcelona	guinardo metro, barcelona	12014	2537
besos metro, barcelona	horta metro, barcelona	10105	2567
besos metro, barcelona	hospital de bellvitge metro, barcelona	15184	3422
besos metro, barcelona	dos de maig metro, barcelona	4071	1969
