waypoint1	waypoint2	distance_m	duration_s
aeroport t1 metro, barcelona	Maragall metro, barcelona	27902	4427
aeroport t1 metro, barcelona	Maria Cristina metro, barcelona	20909	3216
aeroport t1 metro, barcelona	Marina metro, barcelona	24697	4092
aeroport t1 metro, barcelona	Mas blau metro, barcelona	4572	1093
aeroport t1 metro, barcelona	Mercabarna metro, barcelona	15140	3233
aeroport t1 metro, barcelona	Mercat Nou metro, barcelona	19306	3101
aeroport t1 metro, barcelona	Moli Nou metro, barcelona	19301	5975
aeroport t1 metro, barcelona	Montbau metro, barcelona	33150	5253
aeroport t1 metro, barcelona	Monumental metro, barcelona	25095	4357
aeroport t1 metro, barcelona	Mundet metro, barcelona	33844	5406
aeroport t1 metro, barcelona	Muntaner metro, barcelona	23600	4112
aeroport t1 metro, barcelona	Navas metro, barcelona	26897	4346
aeroport t1 metro, barcelona	Onza de Setembre metro, barcelona	28423	4933
aeroport t1 metro, barcelona	Palau Reial metro, barcelona	20192	2981
aeroport t1 metro, barcelona	Padua metro, barcelona	21501	4194
aeroport t1 metro, barcelona	Parallel metro, barcelona	25578	4061
aeroport t1 metro, barcelona	Parc logistic metro, barcelona	13427	1926
aeroport t1 metro, barcelona	Parc nou metro, barcelona	6233	1227
aeroport t1 metro, barcelona	passeig de gracia metro, barcelona	23138	3947
aeroport t1 metro, barcelona	penitents metro, barcelona	31759	5066
aeroport t1 metro, barcelona	pep ventura metro, barcelona	32235	5519
aeroport t1 metro, barcelona	placa molina metro, barcelona	24451	4303
aeroport t1 metro, barcelona	placa de sants metro, barcelona	19838	3105
aeroport t1 metro, barcelona	placa del centre metro, barcelona	22235	3434
aeroport t1 metro, barcelona	poblenou metro, barcelona	28236	4998
aeroport t1 metro, barcelona	poble sec metro, barcelona	24632	3840
aeroport t1 metro, barcelona	provenca metro, barcelona	23019	3775
aeroport t1 metro, barcelona	pubilla cases metro, barcelona	19583	3041
aeroport t1 metro, barcelona	rambla just oliveres metro, barcelona	19686	3127
aeroport t1 metro, barcelona	reina elisenda metro, barcelona	23337	4063
aeroport t1 metro, barcelona	rocafort metro, barcelona	21294	3409
aeroport t1 metro, barcelona	roquetes metro, barcelona	36632	5821
aeroport t1 metro, barcelona	sagrada familia metro, barcelona	24641	3914
aeroport t1 metro, barcelona	sant andreu metro, barcelona	28449	4589
aeroport t1 metro, barcelona	sant antoni metro, barcelona	22352	3914
aeroport t1 metro, barcelona	sant boi metro, barcelona	28964	5199
aeroport t1 metro, barcelona	sant gervasi metro, barcelona	24462	4310
aeroport t1 metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	21921	3406
aeroport t1 metro, barcelona	sant josep metro, barcelona	17428	2952
aeroport t1 metro, barcelona	sant marti metro, barcelona	27688	4803
aeroport t1 metro, barcelona	sant roc metro, barcelona	31175	5435
aeroport t1 metro, barcelona	santa coloma metro, barcelona	32340	5196
aeroport t1 metro, barcelona	santa eulalia metro, barcelona	18616	2936
aeroport t1 metro, barcelona	santa rosa metro, barcelona	34004	5912
aeroport t1 metro, barcelona	sants estacio metro, barcelona	20687	3370
aeroport t1 metro, barcelona	sarria metro, barcelona	22454	3956
aeroport t1 metro, barcelona	selva de mar metro, barcelona	28959	5155
aeroport t1 metro, barcelona	singuerlin metro, barcelona	33885	5733
aeroport t1 metro, barcelona	tarragona metro, barcelona	23304	3684
aeroport t1 metro, barcelona	tetuan metro, barcelona	25084	4484
aeroport t1 metro, barcelona	torras i bages metro, barcelona	30470	4990
aeroport t1 metro, barcelona	torrassa metro, barcelona	17745	2364
aeroport t1 metro, barcelona	torre baro metro, barcelona	38936	6568
aeroport t1 metro, barcelona	trinitat nova metro, barcelona	30380	5276
aeroport t1 metro, barcelona	trinitat vella metro, barcelona	31067	4984
aeroport t1 metro, barcelona	universitat metro, barcelona	18739	3122
aeroport t1 metro, barcelona	urgell metro, barcelona	21805	3501
aeroport t1 metro, barcelona	urquinaona metro, barcelona	23398	3827
aeroport t1 metro, barcelona	valldaura metro, barcelona	34532	5430
aeroport t1 metro, barcelona	vall d'hebron metro, barcelona	32470	5096
aeroport t1 metro, barcelona	verdaguer metro, barcelona	23770	3835
aeroport t1 metro, barcelona	verneda metro, barcelona	29206	5042
aeroport t1 metro, barcelona	via julia metro, barcelona	29540	5039
aeroport t1 metro, barcelona	vilapicina metro, barcelona	28974	4576
aeroport t1 metro, barcelona	virrei amat metro, barcelona	28407	4536
